,availability,location,total_sqft,bath,price,bhk,loction
1167,Ready To Move,Bannerghatta Road,1510.0,2.0,110.0,3,Bannerghatta Road
1168,Ready To Move,Bannerghatta Road,1022.0,2.0,35.0,2,Bannerghatta Road
1169,18-Sep,Bannerghatta Road,1246.0,2.0,47.35,2,Bannerghatta Road
1170,Ready To Move,Bannerghatta Road,1470.0,2.0,85.0,3,Bannerghatta Road
1171,Ready To Move,Bannerghatta Road,1160.0,2.0,45.0,2,Bannerghatta Road
1172,Ready To Move,Bannerghatta Road,970.0,2.0,57.0,2,Bannerghatta Road
1173,Ready To Move,Bannerghatta Road,1527.0,3.0,142.0,3,Bannerghatta Road
1174,Ready To Move,Basapura,1100.0,2.0,60.0,2,other
1175,Ready To Move,Basapura,1045.0,2.0,42.0,2,other
1176,Ready To Move,Basapura,1100.0,2.0,60.0,2,other
1177,Ready To Move,Basapura,1301.0,2.0,55.0,2,other
1178,Ready To Move,Basapura,1540.0,2.0,70.0,3,other
1179,Ready To Move,Basapura,1440.0,3.0,72.0,3,other
1180,Ready To Move,Basapura,1294.0,2.0,52.0,3,other
1181,Ready To Move,Basapura,1100.0,2.0,60.0,2,other
1182,Ready To Move,Basava Nagar,1405.0,2.0,70.0,2,other
1183,Ready To Move,Basava Nagar,1182.0,2.0,60.1,3,other
1184,Ready To Move,Basavanagara,2400.0,2.0,80.0,3,other
1185,Ready To Move,Basavanagara,2000.0,3.0,25.0,4,other
1186,Ready To Move,Basavanagara,1428.0,2.0,70.0,3,other
1187,Ready To Move,Basavanapura,1220.0,2.0,68.0,2,other
1188,18-May,Basavanapura,1095.0,2.0,38.52,2,other
1189,Ready To Move,Basavanapura,1165.0,2.0,65.0,2,other
1190,18-Apr,Basavangudi,1500.0,2.0,143.0,3,Basavangudi
1191,Ready To Move,Basavangudi,1850.0,3.0,168.0,3,Basavangudi
1192,Ready To Move,Basavangudi,1036.0,2.0,105.0,2,Basavangudi
1193,Ready To Move,Basavangudi,2600.0,4.0,260.0,4,Basavangudi
1194,Ready To Move,Basavangudi,1600.0,2.0,160.0,3,Basavangudi
1195,Ready To Move,Basavangudi,1560.0,2.0,145.0,2,Basavangudi
1196,Ready To Move,Basavangudi,1825.0,3.0,175.0,3,Basavangudi
1197,Ready To Move,Basavangudi,1800.0,3.0,195.0,3,Basavangudi
1198,Ready To Move,Basavangudi,1100.0,2.0,93.0,2,Basavangudi
1199,Ready To Move,Basavangudi,1542.14,3.0,120.0,3,Basavangudi
1200,Ready To Move,Basavangudi,1050.0,2.0,103.0,2,Basavangudi
1201,Ready To Move,Basavangudi,1350.0,2.0,130.0,3,Basavangudi
1202,Ready To Move,Basavangudi,1485.0,3.0,140.0,3,Basavangudi
1203,18-Apr,Basavangudi,1180.0,2.0,124.0,2,Basavangudi
1204,Ready To Move,Basavangudi,1600.0,3.0,130.0,3,Basavangudi
1205,Ready To Move,Basavangudi,1200.0,2.0,120.0,2,Basavangudi
1206,Ready To Move,Basavangudi,1850.0,3.0,150.0,3,Basavangudi
1207,Ready To Move,Basavangudi,2453.0,3.0,250.0,4,Basavangudi
1208,Ready To Move,Basavanna Nagar,1645.0,3.0,95.0,3,other
1209,Ready To Move,Basavanna Nagar,1645.0,3.0,95.0,3,other
1210,Ready To Move,Basaveshwara Nagar,4500.0,5.0,415.0,5,Basaveshwara Nagar
1211,Ready To Move,Basaveshwara Nagar,1865.0,3.0,145.0,3,Basaveshwara Nagar
1212,Ready To Move,Basaveshwara Nagar,1200.0,2.0,90.0,2,Basaveshwara Nagar
1213,Ready To Move,Basaveshwara Nagar,2400.0,4.0,310.0,5,Basaveshwara Nagar
1214,Ready To Move,Basaveshwara Nagar,1200.0,2.0,80.0,2,Basaveshwara Nagar
1215,Ready To Move,Basaveshwara Nagar,900.0,2.0,60.0,2,Basaveshwara Nagar
1216,Ready To Move,Basaveshwara Nagar,1900.0,3.0,150.0,3,Basaveshwara Nagar
1217,Ready To Move,Basaveshwara Nagar,1200.0,2.0,85.0,2,Basaveshwara Nagar
1218,18-Apr,Basaveshwara Nagar,1200.0,2.0,70.0,2,Basaveshwara Nagar
1219,Ready To Move,Basaveshwara Nagar Yelahanka,581.91,2.0,25.0,1,other
1220,Ready To Move,Basaveshwara Nagar Yelahanka,1680.0,3.0,85.0,3,other
1221,19-Jan,Basaveshwara Nagar Yelahanka,3210.0,4.0,380.0,3,other
1222,Ready To Move,Basaveshwara Nagar Yelahanka,1950.0,4.0,95.0,3,other
1223,Ready To Move,Basaveshwara Nagar Yelahanka,1055.0,2.0,43.0,2,other
1224,Ready To Move,Battarahalli,1200.0,2.0,65.0,2,Battarahalli
1225,Ready To Move,Battarahalli,1779.0,3.0,89.61,3,Battarahalli
1226,Ready To Move,Battarahalli,1300.0,2.0,50.0,2,Battarahalli
1227,Ready To Move,Battarahalli,1945.0,3.0,97.42,3,Battarahalli
1228,Ready To Move,Battarahalli,1777.0,3.0,100.0,3,Battarahalli
1229,Ready To Move,Battarahalli,1135.0,2.0,43.0,2,Battarahalli
1230,Ready To Move,Battarahalli,1276.0,2.0,45.0,2,Battarahalli
1231,Ready To Move,Battarahalli,1880.0,3.0,94.36,3,Battarahalli
1232,Ready To Move,Battarahalli,1071.0,2.0,62.0,2,Battarahalli
1233,Ready To Move,Battarahalli,1165.0,2.0,43.0,2,Battarahalli
1234,Ready To Move,Battarahalli,1636.0,2.0,82.89,2,Battarahalli
1235,Ready To Move,Battarahalli,1779.0,3.0,90.0,3,Battarahalli
1237,18-May,Battarahalli,1090.0,2.0,38.37,2,Battarahalli
1238,19-Dec,Battarahalli,2082.0,3.0,104.0,3,Battarahalli
1239,19-Jan,Battarahalli,2024.0,3.0,103.0,3,Battarahalli
1240,Ready To Move,Battarahalli,1097.0,2.0,49.0,2,Battarahalli
1242,Ready To Move,Begur,1419.0,2.0,59.0,3,Begur
1243,Ready To Move,Begur,1580.0,3.0,75.0,3,Begur
1244,Ready To Move,Begur,1559.0,3.0,63.0,3,Begur
1245,18-Apr,Begur,1445.0,2.0,47.1,3,Begur
1246,Ready To Move,Begur,1475.0,2.0,74.0,3,Begur
1247,Ready To Move,Begur,3500.0,4.0,185.0,3,Begur
1248,Ready To Move,Begur,1100.0,2.0,55.0,2,Begur
1249,Ready To Move,Begur,1306.0,2.0,65.0,2,Begur
1250,Ready To Move,Begur,1304.0,3.0,65.0,3,Begur
1251,18-Apr,Begur,1411.0,2.0,60.0,3,Begur
1252,Ready To Move,Begur,815.0,2.0,40.0,2,Begur
1253,Ready To Move,Begur,1443.0,2.0,70.0,3,Begur
1254,Ready To Move,Begur Road,1200.0,2.0,44.0,2,Begur Road
1255,Ready To Move,Begur Road,1200.0,2.0,46.8,2,Begur Road
1256,Ready To Move,Begur Road,1160.0,2.0,44.0,2,Begur Road
1257,Ready To Move,Begur Road,1584.0,3.0,65.0,3,Begur Road
1258,Ready To Move,Begur Road,1500.0,2.0,54.0,3,Begur Road
1259,Ready To Move,Begur Road,1615.0,3.0,59.76,3,Begur Road
1260,Ready To Move,Begur Road,1200.0,2.0,43.2,2,Begur Road
1261,Ready To Move,Begur Road,1160.0,2.0,44.08,2,Begur Road
1262,Ready To Move,Begur Road,1200.0,2.0,45.0,2,Begur Road
1263,Ready To Move,Begur Road,1615.0,3.0,60.0,3,Begur Road
1264,Ready To Move,Begur Road,1410.0,2.0,53.0,3,Begur Road
1265,Ready To Move,Begur Road,1200.0,2.0,37.8,2,Begur Road
1266,Ready To Move,Begur Road,1160.0,2.0,40.59,2,Begur Road
1267,Ready To Move,Begur Road,1260.0,2.0,46.62,2,Begur Road
1268,Ready To Move,Begur Road,1600.0,3.0,58.14,3,Begur Road
1269,Ready To Move,Begur Road,1410.0,2.0,44.42,3,Begur Road
1270,Ready To Move,Begur Road,1500.0,2.0,70.0,3,Begur Road
1271,Ready To Move,Begur Road,1160.0,2.0,42.0,2,Begur Road
1272,Ready To Move,Begur Road,1240.0,2.0,39.06,2,Begur Road
1273,Ready To Move,Begur Road,1200.0,2.0,45.0,2,Begur Road
1274,Ready To Move,Begur Road,1500.0,2.0,55.0,3,Begur Road
1275,Ready To Move,Begur Road,1410.0,2.0,52.17,3,Begur Road
1276,Ready To Move,Begur Road,1615.0,3.0,58.0,3,Begur Road
1277,19-Aug,Begur Road,1583.0,3.0,74.4,3,Begur Road
1278,Ready To Move,Begur Road,1170.0,2.0,46.0,2,Begur Road
1279,Ready To Move,Begur Road,1160.0,2.0,42.92,2,Begur Road
1280,Ready To Move,Begur Road,1410.0,2.0,52.17,3,Begur Road
1281,Ready To Move,Begur Road,1410.0,2.0,50.06,3,Begur Road
1282,Ready To Move,Begur Road,1565.0,2.0,59.76,3,Begur Road
1283,Ready To Move,Begur Road,1160.0,2.0,42.0,2,Begur Road
1284,Ready To Move,Begur Road,1400.0,2.0,50.06,3,Begur Road
1285,Ready To Move,Begur Road,1410.0,2.0,53.58,3,Begur Road
1286,Ready To Move,Begur Road,1200.0,2.0,45.0,2,Begur Road
1287,Ready To Move,Begur Road,1200.0,2.0,42.6,2,Begur Road
1288,Ready To Move,Begur Road,1160.0,2.0,42.0,2,Begur Road
1289,Ready To Move,Begur Road,1334.0,2.0,42.69,2,Begur Road
1290,Ready To Move,Begur Road,1565.0,2.0,57.91,3,Begur Road
1291,Ready To Move,Begur Road,1200.0,2.0,45.6,2,Begur Road
1292,Ready To Move,Begur Road,1215.0,2.0,43.13,2,Begur Road
1293,Ready To Move,Begur Road,1160.0,2.0,36.54,2,Begur Road
1294,Ready To Move,Begur Road,1615.0,3.0,50.87,3,Begur Road
1295,Ready To Move,Begur Road,1200.0,2.0,44.4,2,Begur Road
1296,Ready To Move,Begur Road,1565.0,2.0,49.3,3,Begur Road
1297,Ready To Move,Begur Road,1260.0,2.0,39.69,2,Begur Road
1298,19-Aug,Begur Road,2464.5,6.0,118.0,4,Begur Road
1299,Ready To Move,Begur Road,1160.0,2.0,44.0,2,Begur Road
1300,Ready To Move,Begur Road,1410.0,2.0,49.34,3,Begur Road
1301,18-Mar,Begur Road,952.0,2.0,42.0,2,Begur Road
1302,Ready To Move,Begur Road,1565.0,2.0,56.34,3,Begur Road
1303,Ready To Move,Begur Road,1565.0,2.0,56.0,3,Begur Road
1304,Ready To Move,Begur Road,1200.0,2.0,42.0,2,Begur Road
1305,Ready To Move,Begur Road,1240.0,2.0,45.88,2,Begur Road
1306,Ready To Move,Begur Road,1200.0,3.0,50.0,3,Begur Road
1307,Ready To Move,Begur Road,1410.0,2.0,44.42,3,Begur Road
1308,Ready To Move,Begur Road,1200.0,2.0,44.0,2,Begur Road
1309,Ready To Move,Begur Road,1500.0,2.0,47.25,3,Begur Road
1310,Ready To Move,Begur Road,1100.0,2.0,42.6,2,Begur Road
1311,Ready To Move,Begur Road,1565.0,2.0,57.91,3,Begur Road
1312,Ready To Move,Begur Road,1200.0,2.0,44.4,2,Begur Road
1313,Ready To Move,Begur Road,1160.0,2.0,36.54,2,Begur Road
1314,Ready To Move,Begur Road,1215.0,2.0,43.75,2,Begur Road
1315,Ready To Move,Begur Road,1200.0,2.0,44.73,2,Begur Road
1316,Ready To Move,Begur Road,1160.0,2.0,42.0,2,Begur Road
1317,Ready To Move,Begur Road,1410.0,2.0,54.99,3,Begur Road
1318,Ready To Move,Belathur,1254.0,2.0,53.0,2,other
1319,Ready To Move,Belathur,1050.0,2.0,38.0,2,other
1320,Ready To Move,Belatur,1260.0,2.0,58.0,2,other
1321,Ready To Move,Belatur,1275.0,2.0,59.0,2,other
1322,Ready To Move,Bellandur,1767.0,3.0,103.0,3,Bellandur
1323,Ready To Move,Bellandur,1205.0,2.0,66.0,2,Bellandur
1324,Ready To Move,Bellandur,1250.0,2.0,76.0,2,Bellandur
1325,Ready To Move,Bellandur,1000.0,2.0,50.0,2,Bellandur
1326,Ready To Move,Bellandur,1281.0,2.0,74.0,2,Bellandur
1327,Ready To Move,Bellandur,921.0,2.0,40.0,2,Bellandur
1329,Ready To Move,Bellandur,1490.0,2.0,98.0,3,Bellandur
1330,Ready To Move,Bellandur,1398.0,3.0,68.0,3,Bellandur
1331,Ready To Move,Bellandur,2039.0,3.0,168.0,3,Bellandur
1332,Ready To Move,Bellandur,1605.0,3.0,85.0,3,Bellandur
1333,Ready To Move,Bellandur,1692.0,3.0,88.0,3,Bellandur
1334,Ready To Move,Bellandur,1220.0,2.0,60.0,2,Bellandur
1335,Ready To Move,Bellandur,1299.0,2.0,82.0,2,Bellandur
1336,Ready To Move,Bellandur,900.0,2.0,56.0,2,Bellandur
1337,Ready To Move,Bellandur,1350.0,2.0,79.0,2,Bellandur
1338,Ready To Move,Bellandur,1286.0,2.0,57.0,2,Bellandur
1339,Ready To Move,Bellandur,3016.0,4.0,230.0,4,Bellandur
1340,Ready To Move,Bellandur,1457.0,2.0,85.0,2,Bellandur
1341,Ready To Move,Bellandur,1195.0,2.0,51.0,2,Bellandur
1342,Ready To Move,Bellandur,1050.0,2.0,72.0,2,Bellandur
1343,Ready To Move,Bellandur,3600.0,4.0,260.0,4,Bellandur
1344,Ready To Move,Bellandur,1310.0,2.0,72.0,2,Bellandur
1345,Ready To Move,Bellandur,924.0,2.0,35.11,2,Bellandur
1346,Ready To Move,Bellandur,1785.0,3.0,118.0,3,Bellandur
1347,Ready To Move,Bellandur,1051.0,2.0,60.0,2,Bellandur
1348,Ready To Move,Bellandur,1450.0,3.0,68.0,3,Bellandur
1349,Ready To Move,Bellandur,1060.0,2.0,65.0,2,Bellandur
1350,17-Jun,Bellandur,1100.0,2.0,62.0,2,Bellandur
1351,Ready To Move,Bellandur,1550.0,2.0,59.0,2,Bellandur
1352,Ready To Move,Bellandur,924.0,2.0,35.11,2,Bellandur
1353,18-Apr,Bellandur,1400.0,2.0,44.81,3,Bellandur
1354,18-Mar,Bellandur,1685.0,3.0,100.0,3,Bellandur
1355,Ready To Move,Bellandur,982.0,2.0,55.0,2,Bellandur
1356,Ready To Move,Bellandur,981.0,2.0,37.28,2,Bellandur
1357,Ready To Move,Bellandur,1205.0,2.0,59.0,2,Bellandur
1358,Ready To Move,Bellandur,1063.0,2.0,58.0,2,Bellandur
1359,Ready To Move,Bellandur,1201.0,2.0,59.99,2,Bellandur
1360,Ready To Move,Bellandur,1325.0,2.0,65.0,2,Bellandur
1361,Ready To Move,Bellandur,1281.0,2.0,87.0,2,Bellandur
1362,18-Mar,Bellandur,2000.0,3.0,85.0,3,Bellandur
1363,Ready To Move,Bellandur,1200.0,2.0,52.0,2,Bellandur
1364,Ready To Move,Bellandur,1785.0,3.0,120.0,3,Bellandur
1365,Ready To Move,Bellandur,1088.0,2.0,48.0,2,Bellandur
1366,Ready To Move,Bellandur,1310.0,2.0,85.0,2,Bellandur
1367,Ready To Move,Bellandur,982.0,2.0,37.28,2,Bellandur
1368,Ready To Move,Bellandur,1465.0,3.0,90.0,2,Bellandur
1369,Ready To Move,Bellandur,1767.0,3.0,109.0,3,Bellandur
1370,Ready To Move,Bellandur,924.0,2.0,35.11,2,Bellandur
1371,Ready To Move,Bellandur,3600.0,4.0,245.0,4,Bellandur
1372,Ready To Move,Bellandur,1170.0,2.0,46.79,2,Bellandur
1373,Ready To Move,Bellandur,1150.0,2.0,69.44,2,Bellandur
1374,Ready To Move,Bellandur,1200.0,2.0,45.0,2,Bellandur
1375,Ready To Move,Bellandur,1830.0,3.0,90.0,3,Bellandur
1376,Ready To Move,Bellandur,1410.0,3.0,92.0,2,Bellandur
1377,Ready To Move,Bellandur,950.0,2.0,35.0,2,Bellandur
1378,Ready To Move,Bellandur,1015.0,2.0,60.0,2,Bellandur
1379,Ready To Move,Bellandur,2500.0,4.0,112.0,3,Bellandur
1380,18-Jan,Bellandur,1685.0,3.0,101.0,3,Bellandur
1381,Ready To Move,Bellandur,1735.0,3.0,105.0,3,Bellandur
1382,18-Jul,Bellandur,1685.0,3.0,115.0,3,Bellandur
1383,Ready To Move,Bellandur,1846.0,3.0,135.0,3,Bellandur
1384,Ready To Move,Bellandur,1049.0,2.0,51.0,2,Bellandur
1385,Ready To Move,Bellandur,1350.0,2.0,63.0,3,Bellandur
1386,Ready To Move,Bellandur,1211.0,2.0,63.0,2,Bellandur
1387,Ready To Move,Bellandur,1717.0,3.0,110.0,3,Bellandur
1388,Ready To Move,Bellandur,1420.0,3.0,62.0,3,Bellandur
1389,Ready To Move,Bellandur,1185.0,2.0,47.39,2,Bellandur
1390,Ready To Move,Bellandur,1200.0,2.0,62.0,2,Bellandur
1391,Ready To Move,Bellandur,1767.0,3.0,89.0,3,Bellandur
1392,Ready To Move,Bellandur,1830.0,3.0,89.0,3,Bellandur
1393,Ready To Move,Bellandur,2400.0,3.0,115.0,3,Bellandur
1394,Ready To Move,Bellandur,1251.0,2.0,47.0,2,Bellandur
1395,Ready To Move,Bellandur,1665.0,3.0,85.0,3,Bellandur
1396,Ready To Move,Bellandur,960.0,2.0,48.0,2,Bellandur
1397,Ready To Move,Bellandur,1690.0,2.0,116.0,3,Bellandur
1398,Ready To Move,Bellandur,950.0,1.0,40.0,1,Bellandur
1399,Ready To Move,Bellandur,850.0,2.0,45.0,2,Bellandur
1400,19-Jul,Bellandur,1454.0,2.0,90.0,2,Bellandur
1401,Ready To Move,Bellandur,1830.0,3.0,91.86,3,Bellandur
1402,Ready To Move,Bellandur,1195.0,2.0,52.0,2,Bellandur
1403,Ready To Move,Bellandur,1435.0,2.0,115.0,3,Bellandur
1404,Ready To Move,Bellandur,1830.0,3.0,89.89,3,Bellandur
1405,18-Aug,Bellandur,1260.0,2.0,83.5,2,Bellandur
1406,Ready To Move,Bellandur,1535.0,3.0,90.0,3,Bellandur
1407,Ready To Move,Bellandur,1047.0,2.0,75.0,2,Bellandur
1408,Ready To Move,Bellandur,1096.0,2.0,40.0,2,Bellandur
1409,Ready To Move,Bellandur,1262.0,2.0,47.0,2,Bellandur
1410,Ready To Move,Bellari Road,900.0,2.0,45.0,2,other
1411,17-Dec,Bellari Road,1220.0,2.0,48.79,2,other
1412,Ready To Move,Bellari Road,1025.0,2.0,42.5,2,other
1413,Ready To Move,Bellari Road,1050.0,2.0,43.5,2,other
1414,Ready To Move,Bendiganahalli,1200.0,3.0,95.0,3,other
1415,Ready To Move,Benson Town,3200.0,4.0,350.0,3,Benson Town
1416,Ready To Move,Benson Town,4460.0,5.0,650.0,4,Benson Town
1417,Ready To Move,Benson Town,2850.0,4.0,470.0,3,Benson Town
1418,Ready To Move,Benson Town,1300.0,2.0,120.0,2,Benson Town
1419,Ready To Move,Benson Town,1567.0,3.0,140.0,2,Benson Town
1420,Ready To Move,Benson Town,3633.0,6.0,550.0,4,Benson Town
1421,Ready To Move,Benson Town,1688.12,2.0,270.0,2,Benson Town
1422,Ready To Move,Benson Town,1805.0,3.0,280.0,3,Benson Town
1423,Ready To Move,Benson Town,1688.0,2.0,280.0,2,Benson Town
1424,Ready To Move,Bethel Nagar,960.0,2.0,33.0,2,other
1425,Ready To Move,Bethel Nagar,560.0,1.0,19.0,1,other
1426,18-Mar,Bettahalsoor,4046.0,4.0,445.0,4,other
1427,18-Mar,Bettahalsoor,3210.0,2.0,353.0,5,other
1428,Ready To Move,Bhagyalakshmi Avenue,540.0,1.0,22.5,1,other
1429,Ready To Move,Bharathi Nagar,1322.0,2.0,68.0,2,Bharathi Nagar
1430,Ready To Move,Bharathi Nagar,1351.0,2.0,70.0,2,Bharathi Nagar
1431,Ready To Move,Bharathi Nagar,1384.0,2.0,59.0,2,Bharathi Nagar
1432,Ready To Move,Bharathi Nagar,1351.0,2.0,74.0,2,Bharathi Nagar
1433,Ready To Move,Bharathi Nagar,1432.0,2.0,68.0,2,Bharathi Nagar
1435,Ready To Move,Bharathi Nagar,1349.0,2.0,56.7,2,Bharathi Nagar
1436,Ready To Move,Bharathi Nagar,1328.0,2.0,69.0,2,Bharathi Nagar
1437,Ready To Move,Bharathi Nagar,1300.0,2.0,55.86,2,Bharathi Nagar
1438,18-Mar,Bhoganhalli,1670.0,3.0,99.0,3,Bhoganhalli
1440,18-Jul,Bhoganhalli,1718.0,3.0,90.2,3,Bhoganhalli
1441,18-Apr,Bhoganhalli,1444.0,2.0,75.97,2,Bhoganhalli
1442,18-Jul,Bhoganhalli,1447.0,2.0,75.97,2,Bhoganhalli
1443,Ready To Move,Bhoganhalli,1700.0,3.0,126.0,3,Bhoganhalli
1444,18-May,Bhoganhalli,1447.0,2.0,75.97,2,Bhoganhalli
1446,18-Jul,Bhoganhalli,1610.0,3.0,84.53,3,Bhoganhalli
1449,Ready To Move,Bhoganhalli,1760.0,3.0,127.0,3,Bhoganhalli
1451,18-Jul,Bhoganhalli,1447.0,2.0,75.97,2,Bhoganhalli
1452,Ready To Move,Bhoganhalli,1949.0,3.0,129.0,3,Bhoganhalli
1453,Ready To Move,Bhoganhalli,1760.0,3.0,128.0,3,Bhoganhalli
1454,18-Jul,Bhoganhalli,1447.0,2.0,75.97,2,Bhoganhalli
1455,Ready To Move,Bhoganhalli,2439.0,4.0,185.0,4,Bhoganhalli
1456,Ready To Move,Bhoganhalli,1395.0,2.0,70.0,3,Bhoganhalli
1458,18-Apr,Bhoganhalli,1458.0,3.0,78.45,3,Bhoganhalli
1459,18-Apr,Bhoganhalli,1444.0,2.0,75.97,2,Bhoganhalli
1460,19-Dec,Bhoganhalli,1205.0,2.0,64.47,2,Bhoganhalli
1461,18-Jul,Bhoganhalli,1447.0,2.0,75.97,2,Bhoganhalli
1462,Ready To Move,Bhoganhalli,2439.0,5.0,170.0,4,Bhoganhalli
1464,18-Sep,Bhoganhalli,1205.0,2.0,68.32,2,Bhoganhalli
1465,Ready To Move,Bhoganhalli,1260.0,2.0,69.9,2,Bhoganhalli
1466,Ready To Move,Bhoganhalli,2439.0,4.0,170.0,4,Bhoganhalli
1467,Ready To Move,Bhoganhalli,1707.0,3.0,115.0,3,Bhoganhalli
1468,18-Jul,Bhoganhalli,1610.0,3.0,84.53,3,Bhoganhalli
1469,Ready To Move,Bhoganhalli,970.0,2.0,52.5,2,Bhoganhalli
1470,18-Apr,Bhoganhalli,1718.0,3.0,90.2,3,Bhoganhalli
1471,18-May,Bhoganhalli,1277.0,2.0,79.89,2,Bhoganhalli
1473,Ready To Move,Bhoganhalli,1703.0,3.0,120.0,3,Bhoganhalli
1474,Ready To Move,Bhoopsandra,2150.0,3.0,170.0,3,other
1475,Ready To Move,Bhuvaneshwari Nagar,1100.0,2.0,57.0,2,other
1476,Ready To Move,Bhuvaneshwari Nagar,900.0,2.0,45.0,2,other
1477,Ready To Move,Bhuvaneshwari Nagar,1280.0,2.0,68.48,2,other
1478,Ready To Move,Bhuvaneswari Nagar,2400.0,3.0,185.0,4,other
1479,Ready To Move,Bidadi,1600.0,2.0,110.0,2,other
1480,Ready To Move,Bidadi,3600.0,4.0,225.0,4,other
1481,Ready To Move,Bidrahalli,1800.0,2.0,72.0,3,other
1482,Ready To Move,Bikasipura,4200.0,4.0,255.0,4,other
1483,18-Apr,Bikasipura,1450.0,3.0,68.0,3,other
1484,Ready To Move,Bikasipura,1654.0,3.0,82.0,3,other
1485,Ready To Move,Bileshivale,2400.0,7.0,110.0,6,other
1486,Ready To Move,Bileshivale,5400.0,4.0,250.0,4,other
1487,Ready To Move,Bileshivale,2400.0,7.0,107.0,6,other
1489,Ready To Move,Billekahalli,1125.0,2.0,62.0,2,Billekahalli
1491,Ready To Move,Billekahalli,1090.0,2.0,52.0,2,Billekahalli
1492,Ready To Move,Billekahalli,1112.0,2.0,62.0,2,Billekahalli
1493,Ready To Move,Billekahalli,2400.0,3.0,150.0,3,Billekahalli
1494,Ready To Move,Billekahalli,2968.0,3.0,225.0,3,Billekahalli
1495,Ready To Move,Billekahalli,950.0,2.0,58.11,2,Billekahalli
1496,Ready To Move,Billekahalli,1360.0,2.0,110.0,2,Billekahalli
1497,Ready To Move,Billekahalli,1125.0,2.0,65.0,2,Billekahalli
1498,Ready To Move,Billekahalli,950.0,2.0,56.0,2,Billekahalli
1500,Ready To Move,Billekahalli,1805.0,3.0,134.0,3,Billekahalli
1501,19-Dec,Binny Pete,1755.0,3.0,122.0,3,Binny Pete
1502,19-Dec,Binny Pete,665.0,1.0,50.75,1,Binny Pete
1503,19-Dec,Binny Pete,2465.0,5.0,234.0,3,Binny Pete
1505,19-Dec,Binny Pete,1245.0,2.0,86.28,2,Binny Pete
1506,19-Dec,Binny Pete,660.0,1.0,54.0,1,Binny Pete
1507,19-Dec,Binny Pete,665.0,1.0,46.08,1,Binny Pete
1508,19-Dec,Binny Pete,660.0,1.0,62.0,1,Binny Pete
1509,19-Dec,Binny Pete,1365.0,2.0,122.0,2,Binny Pete
1510,19-Dec,Binny Pete,2940.0,6.0,280.0,4,Binny Pete
1511,19-Dec,Binny Pete,1795.0,3.0,139.0,3,Binny Pete
1512,20-Jan,Binny Pete,1740.0,3.0,150.0,3,Binny Pete
1513,18-Apr,Binny Pete,1970.0,3.0,164.0,3,Binny Pete
1514,18-May,Binny Pete,1516.0,3.0,147.0,3,Binny Pete
1515,Ready To Move,Bisuvanahalli,1180.0,3.0,48.0,3,Bisuvanahalli
1517,Ready To Move,Bisuvanahalli,1075.0,2.0,46.0,3,Bisuvanahalli
1520,Ready To Move,Bisuvanahalli,1075.0,2.0,45.0,3,Bisuvanahalli
1522,Ready To Move,Bisuvanahalli,845.0,2.0,33.0,2,Bisuvanahalli
1523,Ready To Move,Bisuvanahalli,1075.0,2.0,45.0,3,Bisuvanahalli
1524,Ready To Move,Bisuvanahalli,845.0,2.0,37.0,2,Bisuvanahalli
1527,Ready To Move,Bisuvanahalli,845.0,2.0,29.0,2,Bisuvanahalli
1528,Ready To Move,Bisuvanahalli,1075.0,2.0,47.0,3,Bisuvanahalli
1529,Ready To Move,Bisuvanahalli,850.0,1.0,32.0,2,Bisuvanahalli
1530,Ready To Move,Bisuvanahalli,1075.0,2.0,50.0,3,Bisuvanahalli
1531,Ready To Move,Bisuvanahalli,1075.0,2.0,52.0,3,Bisuvanahalli
1532,Ready To Move,Bisuvanahalli,1180.0,2.0,46.0,3,Bisuvanahalli
1533,Ready To Move,Bisuvanahalli,1075.0,2.0,42.0,3,Bisuvanahalli
1534,Ready To Move,Bisuvanahalli,845.0,2.0,37.0,2,Bisuvanahalli
1535,Ready To Move,Bisuvanahalli,1075.0,2.0,43.0,3,Bisuvanahalli
1536,Ready To Move,Bisuvanahalli,700.0,1.0,32.0,2,Bisuvanahalli
1537,Ready To Move,Bisuvanahalli,1075.0,2.0,52.0,3,Bisuvanahalli
1538,Ready To Move,Bisuvanahalli,1075.0,2.0,50.0,3,Bisuvanahalli
1540,Ready To Move,Bisuvanahalli,845.0,2.0,33.0,2,Bisuvanahalli
1541,Ready To Move,Bisuvanahalli,945.0,2.0,33.0,2,Bisuvanahalli
1542,Ready To Move,Bisuvanahalli,845.0,2.0,30.0,2,Bisuvanahalli
1545,Ready To Move,Bisuvanahalli,1075.0,2.0,43.0,3,Bisuvanahalli
1546,Ready To Move,Bisuvanahalli,1080.0,2.0,45.0,3,Bisuvanahalli
1547,Ready To Move,Bisuvanahalli,1180.0,2.0,55.5,3,Bisuvanahalli
1548,Ready To Move,Bisuvanahalli,1075.0,2.0,47.0,3,Bisuvanahalli
1549,Ready To Move,Bisuvanahalli,1075.0,2.0,48.0,3,Bisuvanahalli
1551,Ready To Move,Bisuvanahalli,1075.0,2.0,45.0,3,Bisuvanahalli
1552,Ready To Move,Bisuvanahalli,1075.0,2.0,44.0,3,Bisuvanahalli
1553,Ready To Move,Bisuvanahalli,850.0,2.0,27.0,2,Bisuvanahalli
1554,Ready To Move,Bisuvanahalli,1075.0,2.0,42.0,3,Bisuvanahalli
1555,Ready To Move,Bisuvanahalli,845.0,2.0,32.0,2,Bisuvanahalli
